insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0001', 'RID07', 'SI11', TO_DATE('2022-04-12', 'YYYY-MM-DD'), TO_DATE('2022-04-13', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0026', 'RID46', 'SI06', TO_DATE('2023-01-17', 'YYYY-MM-DD'), TO_DATE('2023-01-19', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0027', 'RID37', 'SI09', TO_DATE('2022-01-03', 'YYYY-MM-DD'), TO_DATE('2022-01-08', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0028', 'RID41', 'SI16', TO_DATE('2022-05-12', 'YYYY-MM-DD'), TO_DATE('2022-05-14', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0029', 'RID31', 'SI15', TO_DATE('2022-07-14', 'YYYY-MM-DD'), TO_DATE('2022-07-19', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0030', 'RID33', 'SI04', TO_DATE('2023-03-08', 'YYYY-MM-DD'), TO_DATE('2023-03-12', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0031', 'RID38', 'SI02', TO_DATE('2022-07-24', 'YYYY-MM-DD'), TO_DATE('2022-07-27', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0032', 'RID39', 'SI01', TO_DATE('2022-03-27', 'YYYY-MM-DD'), TO_DATE('2022-03-28', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0033', 'RID15', 'SI03', TO_DATE('2022-10-09', 'YYYY-MM-DD'), TO_DATE('2022-10-13', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0034', 'RID02', 'SI13', TO_DATE('2022-07-26', 'YYYY-MM-DD'), TO_DATE('2022-07-27', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0035', 'RID20', 'SI17', TO_DATE('2022-09-18', 'YYYY-MM-DD'), TO_DATE('2022-09-22', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0036', 'RID12', 'SI08', TO_DATE('2023-03-01', 'YYYY-MM-DD'), TO_DATE('2023-03-03', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0037', 'RID48', 'SI12', TO_DATE('2022-08-17', 'YYYY-MM-DD'), TO_DATE('2022-08-18', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0038', 'RID35', 'SI03', TO_DATE('2022-10-17', 'YYYY-MM-DD'), TO_DATE('2022-10-18', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0039', 'RID11', 'SI02', TO_DATE('2022-12-14', 'YYYY-MM-DD'), TO_DATE('2022-12-18', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0040', 'RID25', 'SI13', TO_DATE('2022-05-27', 'YYYY-MM-DD'), TO_DATE('2022-05-30', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0041', 'RID49', 'SI05', TO_DATE('2022-01-31', 'YYYY-MM-DD'), TO_DATE('2022-02-04', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0042', 'RID09', 'SI09', TO_DATE('2022-12-25', 'YYYY-MM-DD'), TO_DATE('2022-12-30', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0043', 'RID08', 'SI04', TO_DATE('2023-04-14', 'YYYY-MM-DD'), TO_DATE('2023-04-15', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0044', 'RID42', 'SI06', TO_DATE('2022-11-06', 'YYYY-MM-DD'), TO_DATE('2022-11-11', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0045', 'RID36', 'SI15', TO_DATE('2022-11-17', 'YYYY-MM-DD'), TO_DATE('2022-11-21', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0046', 'RID27', 'SI10', TO_DATE('2022-04-19', 'YYYY-MM-DD'), TO_DATE('2022-04-22', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0047', 'RID40', 'SI16', TO_DATE('2022-05-12', 'YYYY-MM-DD'), TO_DATE('2022-05-13', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0048', 'RID47', 'SI11', TO_DATE('2023-02-24', 'YYYY-MM-DD'), TO_DATE('2023-02-28', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0049', 'RID03', 'SI14', TO_DATE('2022-12-27', 'YYYY-MM-DD'), TO_DATE('2022-12-29', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0050', 'RID14', 'SI17', TO_DATE('2023-02-07', 'YYYY-MM-DD'), TO_DATE('2023-02-11', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0051', 'RID42', 'SI07', TO_DATE('2022-09-30', 'YYYY-MM-DD'), TO_DATE('2022-10-05', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0052', 'RID16', 'SI08', TO_DATE('2022-08-31', 'YYYY-MM-DD'), TO_DATE('2022-09-04', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0053', 'RID40', 'SI01', TO_DATE('2022-02-25', 'YYYY-MM-DD'), TO_DATE('2022-02-28', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0054', 'RID32', 'SI18', TO_DATE('2022-09-11', 'YYYY-MM-DD'), TO_DATE('2022-09-14', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0055', 'RID25', 'SI04', TO_DATE('2023-02-16', 'YYYY-MM-DD'), TO_DATE('2023-02-17', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0056', 'RID23', 'SI09', TO_DATE('2022-10-28', 'YYYY-MM-DD'), TO_DATE('2022-11-01', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0057', 'RID05', 'SI13', TO_DATE('2022-11-13', 'YYYY-MM-DD'), TO_DATE('2022-11-16', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0058', 'RID34', 'SI01', TO_DATE('2023-01-29', 'YYYY-MM-DD'), TO_DATE('2023-01-30', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0059', 'RID43', 'SI11', TO_DATE('2022-10-26', 'YYYY-MM-DD'), TO_DATE('2022-10-27', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0060', 'RID06', 'SI07', TO_DATE('2023-01-15', 'YYYY-MM-DD'), TO_DATE('2023-01-20', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0061', 'RID14', 'SI18', TO_DATE('2022-02-13', 'YYYY-MM-DD'), TO_DATE('2022-02-16', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0062', 'RID49', 'SI10', TO_DATE('2022-03-14', 'YYYY-MM-DD'), TO_DATE('2022-03-16', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0063', 'RID17', 'SI16', TO_DATE('2022-08-26', 'YYYY-MM-DD'), TO_DATE('2022-08-31', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0064', 'RID22', 'SI08', TO_DATE('2022-09-08', 'YYYY-MM-DD'), TO_DATE('2022-09-13', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0065', 'RID09', 'SI05', TO_DATE('2023-02-09', 'YYYY-MM-DD'), TO_DATE('2023-02-14', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0066', 'RID12', 'SI12', TO_DATE('2022-12-15', 'YYYY-MM-DD'), TO_DATE('2022-12-18', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0067', 'RID39', 'SI14', TO_DATE('2022-09-22', 'YYYY-MM-DD'), TO_DATE('2022-09-23', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0068', 'RID26', 'SI03', TO_DATE('2023-01-02', 'YYYY-MM-DD'), TO_DATE('2023-01-03', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0069', 'RID18', 'SI15', TO_DATE('2022-08-23', 'YYYY-MM-DD'), TO_DATE('2022-08-24', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0070', 'RID29', 'SI02', TO_DATE('2023-04-05', 'YYYY-MM-DD'), TO_DATE('2023-04-06', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0071', 'RID08', 'SI06', TO_DATE('2022-08-16', 'YYYY-MM-DD'), TO_DATE('2022-08-19', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0072', 'RID50', 'SI17', TO_DATE('2023-01-25', 'YYYY-MM-DD'), TO_DATE('2023-01-26', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0073', 'RID02', 'SI09', TO_DATE('2022-06-11', 'YYYY-MM-DD'), TO_DATE('2022-06-14', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0074', 'RID45', 'SI06', TO_DATE('2022-07-07', 'YYYY-MM-DD'), TO_DATE('2022-07-09', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0075', 'RID41', 'SI02', TO_DATE('2023-03-14', 'YYYY-MM-DD'), TO_DATE('2023-03-16', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0076', 'RID35', 'SI16', TO_DATE('2022-03-09', 'YYYY-MM-DD'), TO_DATE('2022-03-10', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0077', 'RID07', 'SI15', TO_DATE('2022-08-17', 'YYYY-MM-DD'), TO_DATE('2022-08-18', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0078', 'RID27', 'SI10', TO_DATE('2022-07-06', 'YYYY-MM-DD'), TO_DATE('2022-07-11', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0079', 'RID13', 'SI01', TO_DATE('2022-12-03', 'YYYY-MM-DD'), TO_DATE('2022-12-07', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0080', 'RID01', 'SI17', TO_DATE('2023-04-08', 'YYYY-MM-DD'), TO_DATE('2023-04-10', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0081', 'RID47', 'SI13', TO_DATE('2022-11-30', 'YYYY-MM-DD'), TO_DATE('2022-12-05', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0082', 'RID03', 'SI12', TO_DATE('2022-03-17', 'YYYY-MM-DD'), TO_DATE('2022-03-22', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0083', 'RID30', 'SI11', TO_DATE('2022-09-25', 'YYYY-MM-DD'), TO_DATE('2022-09-26', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0084', 'RID28', 'SI14', TO_DATE('2022-02-02', 'YYYY-MM-DD'), TO_DATE('2022-02-07', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0085', 'RID31', 'SI04', TO_DATE('2022-06-08', 'YYYY-MM-DD'), TO_DATE('2022-06-11', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0086', 'RID44', 'SI03', TO_DATE('2023-04-12', 'YYYY-MM-DD'), TO_DATE('2023-04-13', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0087', 'RID19', 'SI07', TO_DATE('2022-08-04', 'YYYY-MM-DD'), TO_DATE('2022-08-09', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0088', 'RID48', 'SI05', TO_DATE('2023-04-05', 'YYYY-MM-DD'), TO_DATE('2023-04-09', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0089', 'RID11', 'SI08', TO_DATE('2022-04-24', 'YYYY-MM-DD'), TO_DATE('2022-04-29', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0090', 'RID36', 'SI18', TO_DATE('2022-10-22', 'YYYY-MM-DD'), TO_DATE('2022-10-24', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0091', 'RID46', 'SI17', TO_DATE('2022-06-22', 'YYYY-MM-DD'), TO_DATE('2022-06-27', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0092', 'RID38', 'SI09', TO_DATE('2022-04-15', 'YYYY-MM-DD'), TO_DATE('2022-04-17', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0093', 'RID21', 'SI04', TO_DATE('2022-10-17', 'YYYY-MM-DD'), TO_DATE('2022-10-21', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0094', 'RID37', 'SI14', TO_DATE('2022-04-03', 'YYYY-MM-DD'), TO_DATE('2022-04-08', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0095', 'RID20', 'SI12', TO_DATE('2022-10-22', 'YYYY-MM-DD'), TO_DATE('2022-10-24', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0096', 'RID04', 'SI16', TO_DATE('2022-05-25', 'YYYY-MM-DD'), TO_DATE('2022-05-30', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0097', 'RID24', 'SI05', TO_DATE('2023-03-16', 'YYYY-MM-DD'), TO_DATE('2023-03-17', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0098', 'RID10', 'SI10', TO_DATE('2023-02-23', 'YYYY-MM-DD'), TO_DATE('2023-02-27', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0099', 'RID15', 'SI15', TO_DATE('2023-01-30', 'YYYY-MM-DD'), TO_DATE('2023-02-02', 'YYYY-MM-DD'));
insert into schedule (schedule_id, room_id, service_id, booked_date_from, booked_date_until) values ('T0100', 'RID33', 'SI08', TO_DATE('2022-04-12', 'YYYY-MM-DD'), TO_DATE('2022-04-13', 'YYYY-MM-DD'));
